1934.179, LEG8253, 1, C:\media\DRSRetrieve\top500\LEG8253.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43164477?width=1024&height=1024, OK
1934.182, 48997, 1, C:\media\DRSRetrieve\top500\48997.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183181?width=1024&height=1024, OK
1934.27, 10621, 1, C:\media\DRSRetrieve\top500\10621.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181274?width=1024&height=1024, OK
1934.35, 53534, 1, C:\media\DRSRetrieve\top500\53534.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388673?width=1024&height=1024, OK
1936.27, 39132, 1, C:\media\DRSRetrieve\top500\39132.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182343?width=1024&height=1024, OK
1937.38, DDC104775, 1, C:\media\DRSRetrieve\top500\DDC104775.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/7880463?width=1024&height=1024, OK
1937.51, DDC105029, 1, C:\media\DRSRetrieve\top500\DDC105029.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8385160?width=1024&height=1024, OK
1937.7.32.1, 76823, 1, C:\media\DRSRetrieve\top500\76823.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17916306?width=1024&height=1024, OK
1937.78, 30109, 1, C:\media\DRSRetrieve\top500\30109.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20673614?width=1024&height=1024, OK
1939.225, 70716, 1, C:\media\DRSRetrieve\top500\70716.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17804231?width=1024&height=1024, OK
1939.229, 61336, 1, C:\media\DRSRetrieve\top500\61336.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388992?width=1024&height=1024, OK
1939.233, 51340, 1, C:\media\DRSRetrieve\top500\51340.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386630?width=1024&height=1024, OK
1940.298, 50952, 1, C:\media\DRSRetrieve\top500\50952.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386323?width=1024&height=1024, OK
1941.1, 70302, 1, C:\media\DRSRetrieve\top500\70302.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20684451?width=1024&height=1024, OK
1942.116, 60655, 1, C:\media\DRSRetrieve\top500\60655.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20683429?width=1024&height=1024, OK
1942.132, INV156893, 1, C:\media\DRSRetrieve\top500\INV156893.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20412956?width=1024&height=1024, OK
1942.167, DDC102192, 1, C:\media\DRSRetrieve\top500\DDC102192.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18773791?width=1024&height=1024, OK
1942.168, 30074, 1, C:\media\DRSRetrieve\top500\30074.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182096?width=1024&height=1024, OK
1942.174, DDC112827, 1, C:\media\DRSRetrieve\top500\DDC112827.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/40415548?width=1024&height=1024, OK
1942.185.373.A-B, CARP09633, 1, C:\media\DRSRetrieve\top500\CARP09633.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18723446?width=1024&height=1024, OK
1942.186, 51429, 1, C:\media\DRSRetrieve\top500\51429.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386704?width=1024&height=1024, OK
1943.1034, 51305, 1, C:\media\DRSRetrieve\top500\51305.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386600?width=1024&height=1024, OK
1943.104, DDC111018, 1, C:\media\DRSRetrieve\top500\DDC111018.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17749901?width=1024&height=1024, OK
1943.106, 51173, 1, C:\media\DRSRetrieve\top500\51173.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386478?width=1024&height=1024, OK
1943.1181, DDC105028, 1, C:\media\DRSRetrieve\top500\DDC105028.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8385159?width=1024&height=1024, OK
1943.137, 51245, 1, C:\media\DRSRetrieve\top500\51245.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386544?width=1024&height=1024, OK
1943.138, 62135, 1, C:\media\DRSRetrieve\top500\62135.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17804739?width=1024&height=1024, OK
1943.150, 51172, 1, C:\media\DRSRetrieve\top500\51172.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386477?width=1024&height=1024, OK
1943.162, DDC108569, 1, C:\media\DRSRetrieve\top500\DDC108569.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/13972667?width=1024&height=1024, OK
1943.172, 30083, 1, C:\media\DRSRetrieve\top500\30083.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182099?width=1024&height=1024, OK
1943.176, 51196, 1, C:\media\DRSRetrieve\top500\51196.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386501?width=1024&height=1024, OK
1943.180, 51492, 1, C:\media\DRSRetrieve\top500\51492.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386756?width=1024&height=1024, OK
1943.202, 51827, 1, C:\media\DRSRetrieve\top500\51827.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387890?width=1024&height=1024, OK
1943.229, 51334, 1, C:\media\DRSRetrieve\top500\51334.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386624?width=1024&height=1024, OK
1943.247, 51336, 1, C:\media\DRSRetrieve\top500\51336.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386626?width=1024&height=1024, OK
1943.248, 51337, 1, C:\media\DRSRetrieve\top500\51337.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386627?width=1024&height=1024, OK
1943.249, 51354, 1, C:\media\DRSRetrieve\top500\51354.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386641?width=1024&height=1024, OK
1943.251, 51355, 1, C:\media\DRSRetrieve\top500\51355.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386642?width=1024&height=1024, OK
1943.252, 30488, 1, C:\media\DRSRetrieve\top500\30488.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182170?width=1024&height=1024, OK
1943.260, 51251, 1, C:\media\DRSRetrieve\top500\51251.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386550?width=1024&height=1024, OK
1943.262, 51571, 1, C:\media\DRSRetrieve\top500\51571.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387691?width=1024&height=1024, OK
1943.265, 51433, 1, C:\media\DRSRetrieve\top500\51433.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386708?width=1024&height=1024, OK
1943.268, 21204, 1, C:\media\DRSRetrieve\top500\21204.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17329117?width=1024&height=1024, OK
